id,default_code,name,is_storable,tracking,categ_id:id
product_template_56180,56180,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_56237,56237,LAIRD Trunk lid mount. Low profile mount complete with 17 feet RG58U coaxial cable. Order connector separately.,TRUE,none,aak_product_data.product_category_components
product_template_56313,56313,"1/2"" LMR-00 Fire Retardant",TRUE,none,aak_product_data.product_category_components
product_template_56400,56400,450-470 MHZ 10DB 6 ELEMENT YAGI ANTENNA,TRUE,none,aak_product_data.product_category_components
product_template_56570,56570,"5/8"" Loom (100 ft)..",TRUE,none,aak_product_data.product_category_components
product_template_56604,56604,N M to UHF Connector....,TRUE,none,aak_product_data.product_category_components
product_template_56820,56820,"RF INDUSTRIES N male connector for RG58/U, RG58A/U, RG141 and Ultralink cable. Silver plated body, gold pin. Solder center pin, clamp on braid.",TRUE,none,aak_product_data.product_category_components
product_template_56866,56866,10FT Tower Sections 25G,TRUE,none,aak_product_data.product_category_components
product_template_56962,56962,Antenna,TRUE,none,aak_product_data.product_category_components
product_template_57015,57015,Yagi Antenna 450-470 9db 5 Element..,TRUE,none,aak_product_data.product_category_components
product_template_57195,57195,Fender Mount..,TRUE,none,aak_product_data.product_category_components
product_template_57584,57584,Bird APM-16,TRUE,none,aak_product_data.product_category_components
product_template_57619,57619,406-512 MHz 2 Channel Combiner Hybrid,TRUE,none,aak_product_data.product_category_components
product_template_58407,58407,Electrical Tape,TRUE,none,aak_product_data.product_category_components
product_template_58559,58559,Hex washer head TEK screw #8x3/4  (250 pk),TRUE,none,aak_product_data.product_category_components
product_template_58776,58776,N Male-N Male Adapter..,TRUE,none,aak_product_data.product_category_components
product_template_58794,58794,TNC Connector..,TRUE,none,aak_product_data.product_category_components
product_template_58957,58957,Banjo Test Jig..,TRUE,none,aak_product_data.product_category_components
product_template_58966,58966,"POLYPHASER 125-1000 MHz general coverage flange mount. Max surge 50,000 amp. 600 VDC turn on. N female on equipment port, N male on antenna port.",TRUE,none,aak_product_data.product_category_components
product_template_59004,59004,144-174 No Ground Antenna - 1/2 Wave,TRUE,none,aak_product_data.product_category_components
product_template_59311,59311,DC-DC Connector,TRUE,none,aak_product_data.product_category_components
product_template_59517,59517,UHF Right Angle,TRUE,none,aak_product_data.product_category_components
product_template_59533,59533,15A 32V Plastic ATC blade type fuse light blue 100 pack,TRUE,none,aak_product_data.product_category_components
product_template_59716,59716,UHF Female,TRUE,none,aak_product_data.product_category_components
product_template_59787,59787,RG-142,TRUE,none,aak_product_data.product_category_components
product_template_60042,60042,BC R/A Adapter..,TRUE,none,aak_product_data.product_category_components
product_template_60117,60117,15AMP ATC FUSE..,TRUE,none,aak_product_data.product_category_components
