id,component_id:id,product_id,quantity
product_components__component_list_2way_radio__28600,component_list_2way_radio,28600,1
product_components__component_list_2way_radio__40771,component_list_2way_radio,40771,1
product_components__component_list_2way_radio__217282,component_list_2way_radio,217282,1
product_components__component_list_2way_radio__74915,component_list_2way_radio,74915,1
product_components__component_list_2way_radio__78861,component_list_2way_radio,78861,1
product_components__component_list_2way_radio__69907,component_list_2way_radio,69907,1
product_components__component_list_2way_radio__54771,component_list_2way_radio,54771,1
product_components__component_list_2way_radio__47001,component_list_2way_radio,47001,1
product_components__component_list_2way_radio__84145,component_list_2way_radio,84145,1
product_components__component_list_2way_radio__62952,component_list_2way_radio,62952,1
product_components__component_list_2way_radio__68433,component_list_2way_radio,68433,1
product_components__component_list_2way_radio__20573,component_list_2way_radio,20573,1
product_components__component_list_2way_radio__58966,component_list_2way_radio,58966,1
product_components__component_list_2way_radio__70924,component_list_2way_radio,70924,1
product_components__component_list_2way_radio__63823,component_list_2way_radio,63823,1
product_components__component_list_2way_radio__76282,component_list_2way_radio,76282,1
product_components__component_list_2way_radio__22741,component_list_2way_radio,22741,1
product_components__component_list_2way_radio__19895,component_list_2way_radio,19895,1
product_components__component_list_2way_radio__23151,component_list_2way_radio,23151,1
product_components__component_list_2way_radio__205932,component_list_2way_radio,205932,1
product_components__component_list_2way_radio__43839,component_list_2way_radio,43839,1
product_components__component_list_2way_radio__40756,component_list_2way_radio,40756,1
product_components__component_list_2way_radio__93612,component_list_2way_radio,93612,1
product_components__component_list_2way_radio__15577,component_list_2way_radio,15577,1
product_components__component_list_2way_radio__16826,component_list_2way_radio,16826,1
product_components__component_list_2way_radio__97359,component_list_2way_radio,97359,1
product_components__component_list_2way_radio__65935,component_list_2way_radio,65935,1
product_components__component_list_2way_radio__81647,component_list_2way_radio,81647,1
product_components__component_list_2way_radio__67184,component_list_2way_radio,67184,1
product_components__component_list_2way_radio__212616,component_list_2way_radio,212616,1
product_components__component_list_2way_radio__222204,component_list_2way_radio,222204,1
product_components__component_list_2way_radio__71823,component_list_2way_radio,71823,1
product_components__component_list_2way_radio__213894,component_list_2way_radio,213894,1
product_components__component_list_2way_radio__63434,component_list_2way_radio,63434,1
product_components__component_list_2way_radio__30918,component_list_2way_radio,30918,1
product_components__component_list_2way_radio__39541,component_list_2way_radio,39541,1
product_components__component_list_2way_radio__85513,component_list_2way_radio,85513,1
product_components__component_list_2way_radio__17775,component_list_2way_radio,17775,1
product_components__component_list_2way_radio__51124,component_list_2way_radio,51124,1
product_components__component_list_2way_radio__20383,component_list_2way_radio,20383,1
product_components__component_list_2way_radio__35834,component_list_2way_radio,35834,1
product_components__component_list_2way_radio__56820,component_list_2way_radio,56820,1
product_components__component_list_2way_radio__36421,component_list_2way_radio,36421,1
product_components__component_list_2way_radio__73565,component_list_2way_radio,73565,1
product_components__component_list_2way_radio__72604,component_list_2way_radio,72604,1
product_components__component_list_2way_radio__59787,component_list_2way_radio,59787,1
product_components__component_list_2way_radio__10849,component_list_2way_radio,10849,1
product_components__component_list_2way_radio__70503,component_list_2way_radio,70503,1
product_components__component_list_2way_radio__85487,component_list_2way_radio,85487,1
product_components__component_list_2way_radio__42661,component_list_2way_radio,42661,1
product_components__component_list_2way_radio__17174,component_list_2way_radio,17174,1
product_components__component_list_2way_radio__74546,component_list_2way_radio,74546,1
product_components__component_list_2way_radio__73818,component_list_2way_radio,73818,1
product_components__component_list_2way_radio__26751,component_list_2way_radio,26751,1
product_components__component_list_2way_radio__60639,component_list_2way_radio,60639,1
product_components__component_list_2way_radio__206015,component_list_2way_radio,206015,1
product_components__component_list_2way_radio__25840,component_list_2way_radio,25840,1
product_components__component_list_2way_radio__81033,component_list_2way_radio,81033,1
product_components__component_list_2way_radio__50155,component_list_2way_radio,50155,1
product_components__component_list_2way_radio__38190,component_list_2way_radio,38190,1
product_components__component_list_2way_radio__204484,component_list_2way_radio,204484,1
product_components__component_list_2way_radio__10077,component_list_2way_radio,10077,1
product_components__component_list_2way_radio__98980,component_list_2way_radio,98980,1
product_components__component_list_2way_radio__58794,component_list_2way_radio,58794,1
product_components__component_list_2way_radio__62413,component_list_2way_radio,62413,1
product_components__component_list_2way_radio__80534,component_list_2way_radio,80534,1
product_components__component_list_2way_radio__48843,component_list_2way_radio,48843,1
product_components__component_list_2way_radio__220372,component_list_2way_radio,220372,1
product_components__component_list_2way_radio__37510,component_list_2way_radio,37510,1
product_components__component_list_2way_radio__67290,component_list_2way_radio,67290,1
product_components__component_list_2way_radio__29248,component_list_2way_radio,29248,1
product_components__component_list_2way_radio__65724,component_list_2way_radio,65724,1
product_components__component_list_2way_radio__25959,component_list_2way_radio,25959,1
product_components__component_list_2way_radio__36750,component_list_2way_radio,36750,1
product_components__component_list_2way_radio__17461,component_list_2way_radio,17461,1
product_components__component_list_2way_radio__30868,component_list_2way_radio,30868,1
product_components__component_list_2way_radio__17948,component_list_2way_radio,17948,1
product_components__component_list_2way_radio__28664,component_list_2way_radio,28664,1
product_components__component_list_2way_radio__22636,component_list_2way_radio,22636,1
product_components__component_list_2way_radio__92951,component_list_2way_radio,92951,1
product_components__component_list_2way_radio__37145,component_list_2way_radio,37145,1
product_components__component_list_2way_radio__24020,component_list_2way_radio,24020,1
product_components__component_list_2way_radio__68260,component_list_2way_radio,68260,1
product_components__component_list_2way_radio__59716,component_list_2way_radio,59716,1
product_components__component_list_2way_radio__70285,component_list_2way_radio,70285,1
product_components__component_list_2way_radio__61204,component_list_2way_radio,61204,1
product_components__component_list_2way_radio__35985,component_list_2way_radio,35985,1
product_components__component_list_2way_radio__11904,component_list_2way_radio,11904,1
product_components__component_list_2way_radio__33449,component_list_2way_radio,33449,1
product_components__component_list_2way_radio__91538,component_list_2way_radio,91538,1
product_components__component_list_2way_radio__87791,component_list_2way_radio,87791,1
product_components__component_list_2way_radio__59517,component_list_2way_radio,59517,1
product_components__component_list_2way_radio__21124,component_list_2way_radio,21124,1
product_components__component_list_2way_radio__202227,component_list_2way_radio,202227,1
product_components__component_list_2way_radio__216827,component_list_2way_radio,216827,1
product_components__component_list_2way_radio__13503,component_list_2way_radio,13503,1
product_components__component_list_2way_radio__94183,component_list_2way_radio,94183,1
product_components__component_list_2way_radio__71504,component_list_2way_radio,71504,1
product_components__component_list_2way_radio__202030,component_list_2way_radio,202030,1
product_components__component_list_2way_radio__85512,component_list_2way_radio,85512,1
product_components__component_list_2way_radio__29777,component_list_2way_radio,29777,1
product_components__component_list_2way_radio__40482,component_list_2way_radio,40482,1
product_components__component_list_2way_radio__37462,component_list_2way_radio,37462,1
