id,default_code,description,name,is_storable,tracking,categ_id:id
product_template_nx_3400k3_xlkvp,NX-3400K3-XLKVP,Extra-Cap Li-Ion Value Pack : NX-3400K3+KNB-78L(2860mAh)+KSC-25LSK,Extra-Cap Li-Ion Value Pack : NX-3400K3+KNB-78L(2860mAh)+KSC-25LSK,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3420_isck3,NX-3420-ISCK3,"800/900MHz, 3.0 Watts, 260 CH, Full Key Model, NXDN Conv & Trunking","800/900MHz, 3.0 Watts, 260 CH, Full Key Model, NXDN Conv & Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3420k3,NX-3420K3,"800/900MHz, 3.0 Watts, 260 CH, Full Key Model, NXDN Conv & Trunking","800/900MHz, 3.0 Watts, 260 CH, Full Key Model, NXDN Conv & Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3420k3_xlkvp,NX-3420K3-XLKVP,Extra-Cap Li-Ion Value Pack : NX-3420K3+KNB-78L(2860mAh)+KSC-25LSK,Extra-Cap Li-Ion Value Pack : NX-3420K3+KNB-78L(2860mAh)+KSC-25LSK,TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3720hgk,NX-3720HGK,"VHF (136-174MHz), 50 Watts, 512 CH, 128 Zones","VHF (136-174MHz), 50 Watts, 512 CH, 128 Zones",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3720hgk_tr,NX-3720HGK-TR,"VHF (136-174MHz), 50 Watts, 512 CH, 128 Zones with NXDN Trunking","VHF (136-174MHz), 50 Watts, 512 CH, 128 Zones with NXDN Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3820hgk,NX-3820HGK,"UHF (450 - 520MHz), 45 Watts, 512 CH, 128 Zones","UHF (450 - 520MHz), 45 Watts, 512 CH, 128 Zones",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3820hgk2,NX-3820HGK2,"UHF (400 - 470MHz), 45 Watts, 512 CH, 128 Zones","UHF (400 - 470MHz), 45 Watts, 512 CH, 128 Zones",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3820hgk2_tr,NX-3820HGK2-TR,"UHF (400 - 470MHz), 45 Watts, 512 CH, 128 Zones with NXDN Trunking","UHF (400 - 470MHz), 45 Watts, 512 CH, 128 Zones with NXDN Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_nx_3820hgk_tr,NX-3820HGK-TR,"UHF (450 - 520MHz), 45 Watts, 512 CH, 128 Zones with NXDN Trunking","UHF (450 - 520MHz), 45 Watts, 512 CH, 128 Zones with NXDN Trunking",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
